CONSUMPTION_SEGMENT_CODE,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01,2024-02-01,2024-03-01,2024-04-01,2024-05-01,2024-06-01,2024-07-01,2024-08-01,2024-09-01,2024-10-01,2024-11-01,2024-12-01,2025-01-01,2025-02-01,2025-03-01
520130,99.7,99.7,100.398,100.398,100.797,102.791,103.09,103.688,104.785,104.984,104.984,105.084,105.383,106.753,106.542,106.121,105.172,106.331,109.387,113.181,113.708,114.34,111.284,115.71,113.708,112.23,112.344,112.912,119.166,120.417,119.166,119.621,121.213,120.872,121.781,121.554,121.213,122.789,124.728,125.092,128.243,128.001,129.092,133.455,133.577,134.668,133.334,134.668,132.364,133.423,133.468
520131,101.1,103.122,103.223,101.302,100.898,100.19,100.392,100.594,100.392,100.493,100.493,99.786,99.685,101.28,102.077,98.389,97.192,103.772,102.875,101.579,101.479,100.881,101.878,100.482,99.984,100.284,100.384,97.884,101.083,100.884,98.284,101.583,101.883,101.183,102.183,101.083,100.384,102.19,103.395,101.588,104.198,101.689,103.295,105.704,105.403,103.696,104.499,104.299,102.19,105.972,105.96
520137,101.2,101.504,99.378,101.605,101.807,101.605,100.795,102.01,102.313,100.795,100.694,100.492,100.39,101.294,100.19,105.811,106.313,101.394,102.499,105.912,104.808,102.599,104.306,103.603,107.217,107.86,106.038,105.501,104.537,105.716,104.751,106.681,106.466,106.145,107.539,108.932,103.893,106.594,109.711,107.114,107.945,106.594,106.594,114.49,113.451,110.231,112.101,113.867,112.412,115.448,115.484
520140,96.0,98.496,99.168,100.512,101.664,99.648,92.832,96.288,99.744,99.264,98.592,98.112,95.424,93.229,92.466,94.565,96.569,92.275,89.126,89.508,92.18,89.889,90.939,91.798,89.794,84.227,86.741,87.1,93.206,93.296,91.949,90.423,90.512,92.667,93.925,91.859,92.129,93.787,91.392,93.971,94.524,95.169,96.551,98.946,98.393,99.407,99.867,99.775,97.196,97.973,97.993
510439,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,
510434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520109,101.7,104.649,105.26,104.853,104.649,103.531,99.564,103.022,107.395,103.429,107.192,105.768,104.344,101.214,98.71,95.371,97.144,95.162,89.006,97.562,98.918,98.605,91.197,98.501,95.788,94.543,95.596,95.309,99.428,98.087,97.895,97.991,97.416,98.757,97.416,97.704,97.608,97.218,98.779,103.367,102.586,103.66,99.462,100.634,102.781,103.074,103.269,101.317,97.803,99.661,99.656
510429,101.9,102.41,102.613,103.327,103.632,102.715,102.511,102.002,102.002,102.104,102.919,102.308,102.104,99.041,102.512,121.81,119.461,119.359,118.543,103.84,104.656,103.737,104.861,108.741,109.557,114.597,113.501,112.735,111.749,111.858,111.858,112.735,113.392,113.721,116.131,116.569,115.473,118.822,119.631,120.901,122.517,120.323,120.554,121.94,121.478,124.019,124.365,126.905,123.095,124.203,124.263
510432,91.0,92.456,93.639,92.456,94.094,92.365,86.541,84.539,90.818,96.096,96.915,95.368,88.27,86.946,84.474,82.886,81.915,81.385,79.796,77.854,85.357,92.419,89.506,89.329,81.738,79.449,80.839,81.901,82.719,84.108,79.695,81.002,83.046,85.661,90.729,89.994,85.661,82.749,85.062,87.632,88.574,90.63,82.492,86.261,91.829,94.827,96.54,95.513,94.485,93.729,93.751
510324,94.5,95.539,97.146,98.564,98.469,98.091,100.359,101.304,101.776,101.493,99.981,97.524,97.902,96.727,95.357,92.419,97.217,95.944,94.867,96.238,98.392,99.371,95.944,98.098,97.51,98.485,97.9,100.143,99.948,100.241,100.923,100.631,102.971,106.091,106.286,107.651,105.019,105.334,107.224,105.964,106.174,105.859,106.384,107.959,108.589,112.37,111.215,110.9,113.735,114.531,114.587
